Field1,Field2,Field3,Time
JOHN KENNAN,john kennan,University of Wisconsin,Cited by 5999
FAHAD KHALIL,Fahad Khalil,University of Washington,Cited by 2012
SHAKEEB KHAN,Shakeeb Khan,"Professor of Economics, Boston College",Cited by 1994
M. ALI KHAN,,,Muhammad Ali Khan - Verified email at mdanderson.org - Cited by 24151
D. RODERICK KIEWIET,Kiewiet,California Institute of Technology,Cited by 12138
SUKKOO KIM,Sukkoo Kim,"Professor of Economics, Washington University",Cited by 3417
SOYOUNG KIM,,,So Young Kim - Verified email at duke.edu - Cited by 15536
HARILAOS KITSIKOPOULOS,Harilaos Kitsikopoulos,"Academic Director, Unbound Prometheus Program",Cited by 20
LAWRENCE KLEIN,Klein,Verified email at cam.ac.uk,
JEFFREY KLING,Jeffrey ,"Faculty Research Fellow, National Bureau of Economic Research",Cited by 16576
BRIAN KNIGHT,Brian Knight,Brown University,Cited by 5046
JOHN KNOWLES,,,John A. Knowles - Verified email at sfu.ca - Cited by 2607
NARAYANA KOCHERLAKOTA,Narayana Kocherlakota,"Professor of Economics, University of Rochester",Cited by 11854
ROGER KOENKER,Roger Koenker,"Honorary Professor Economics, UCL",Cited by 52480
IVANA KOMUNJER,Ivana Komunjer,"Professor of Economics, Georgetown University",Cited by 2829
GREGORY KORDAS,Gregory Kordas,"Assistant Professor, Panteion University",Cited by 330
JáNOS KORNAI,janos kornai,Harvard University and Corvinus University of Budapest,Cited by 35323
SAM KORTUM,Samuel Kortum,"Professor of Economics, Yale University",Cited by 29661
BOTOND KOSZEGI,Botond Koszegi,"Professor of Economics, Central European University",Cited by 12758
RACHEL KRANTON,Rachel Kranton,"James B. Duke Professor of Economics, Duke University",Cited by 19941
STEFAN KRASA,Stefan Krasa,"Professor of Economics, University of Illinois",Cited by 2355
PRAVIN KRISHNA,Pravin Krishna,Johns Hopkins University,Cited by 5548
ALAN B. KRUEGER,Alan Krueger,Princeton University,Cited by 116662
DIRK KRUEGER,Dirk Krueger,"Leonore and Walter Annenberg Professor in the Social Sciences, University of Pennsylvania",Cited by 10628
PER KRUSELL,Per Krusell,"Professor, Institute for International Economic Studies, Stockholm University",Cited by 18792
FELIX KUBLER,Felix Kubler,University of Zurich and Swiss Finance Institute,Cited by 2972
GUIDO KUERSTEINER,Guido Kuersteiner,"University of Maryland, Dept of Economics",Cited by 2569
MICHAEL KUMHOF,Michael Kumhof,"Senior Research Advisor, Research Hub, Bank of England",Cited by 7938
EKATERINI KYRIAZIDOU,Ekaterini Kyriazidou,"Professor of Economics, New York University Abu Dhabi",Cited by 2215
FRANCINE LAFONTAINE,Francine Lafontaine,"Professor of Business Economics, University of Michigan",Cited by 10330
JOHN P. LAITNER,John Laitner,University of Michigan Ann Arbor,Cited by 3586
DAVID LAM,,,David Lam - Verified email at umich.edu - Cited by 7701
KEVIN LANG,Kevin Lang,"Professor of Economics, Boston University",Cited by 12753
RASMUS LENTZ,Rasmus Lentz,"economics, university of wisconsin madison",Cited by 1931
KEN LEONARD,,,Kenneth E Leonard - Verified email at buffalo.edu - Cited by 21348
DAN LEVIN,,,Daniel Z. Levin - Verified email at business.rutgers.edu - Cited by 8362
BARTON LIPMAN,Barton ,"Professor of Economics, Boston University",Cited by 5011
GLENN C. LOURY,Glenn Loury,"Merton Stoltz Professor of the Social Science, Brown University",Cited by 15327
THOMAS LYONS,Thomas ,Clarence E. Harris Chair of Excellence in Entrepreneurship and Professor of Marketing,Cited by 4111
RAFAEL LA PORTA,Rafael La Porta,Brown University,Cited by 126952
RICARDO LAGOS,Ricardo Lagos,"Professor of Economics, New York University",Cited by 5731
AMARTYA LAHIRI,Amartya Lahiri,"Professor of Economics, University of British Columbia",Cited by 2264
DAVID LAIBSON,David Laibson,"Professor of Economics, Harvard University",Cited by 60360
DEEPAK K. LAL,Deepak Kumar Lal,"Assistant Professor, Veer Surendra Sai University of Technology, Odisha",Cited by 615
RICKY LAM,Ricky Lam,Hong Kong Baptist University,Cited by 1756
LUISA LAMBERTINI,Luisa Lambertini,"Professor of Economics, EPFL",Cited by 2534
NAOMI LAMOREAUX,Naomi Lamoreaux,"Stanley B. Resor Professor of Economics and History, Yale University",Cited by 6641
LAWRENCE J. LAU,Lawrence J,"Ralph and Claire Landau Professor of Economics, The Chinese University of Hong Kong",Cited by 25292
JACQUES LAWARREE,Jacques Lawarree,"Professor of Economics, University of Washington",Cited by 3659
JOHN LEAHY,John Leahy,"Professor of Economics, University of Michigan",Cited by 8222
EDWARD E. LEAMER,Edward Leamer,UCLA,Cited by 36756
JOHN O. LEDYARD,john ledyard,Caltech,Cited by 13494
DAVID LEE,,,David S Lee - Verified email at mmu.ac.uk - Cited by 14117
RONALD D. LEE,Ronald ,"Professor of Demography and Economics, Univ Calif Berkeley",Cited by 27181
DONGHOON LEE,,,Donghoon Lee - Verified email at mssm.edu - Cited by 15140
AXEL LEIJONHUFVUD,Axel Leijonhufvud,"UCLA and University of Trento, Emeritus Professor",Cited by 9905
JONATHAN LEVIN,,,Jonathan Levin - Verified email at stanford.edu - Cited by 13543
RICHARD LEVIN,,,RICHARD C LEVIN - Verified email at yale.edu - Cited by 17776
DAVID K. LEVINE,David ,"Professor of Economics and RSCAS, European University Institute",Cited by 26082
HERBERT LEVINE,Herbert Levine,"Professor of Physics, Northeastern University",Cited by 28747
STEVEN LEVITT,Steven ,University of Chicago,Cited by 43056
PHILIP LEVY,Philip Levy,Northwestern University Kellogg School of Management,Cited by 1786
JUDITH LI,Judith ,Google Research,Cited by 227
CARL E. LIEDHOLM,Carl Liedholm,"Professor of Economics, Michigan State University",Cited by 5704
NUNO LIMãO,Nuno Limao,"Georgetown University, NBER",Cited by 7695
SUSAN J. LINZ,Susan J,"Professor of Economics, Michigan State University",Cited by 2394
ALESSANDRO LIZZERI,Alessandro Lizzeri,"Professor of Economics, Princeton University",Cited by 6250
ADRIANA LLERAS-MUNEY,Adriana Lleras,UCLA,Cited by 14468
LANCE LOCHNER,Lance Lochner,University of Western Ontario,Cited by 19744
GUIDO LORENZONI,Guido Lorenzoni,Chicago Booth,Cited by 7528
THOMAS LUBIK,Thomas ,"Senior Advisor, Research Department, Federal Reserve Bank of Richmond",Cited by 5301
DARREN LUBOTSKY,Darren Lubotsky,University of Illinois at Chicago,Cited by 4501
SYDNEY C LUDVIGSON,Sydney C Ludvigson,"Silver Professor of Economics, New York University",Cited by 18837
SHELLY LUNDBERG,Shelly Lundberg,"Leonard Broom Professor of Demography, Department of Economics, UC Santa Barbara",Cited by 16071
HANNO LUSTIG,Hanno Lustig,"Mizuho Financial Group Professor of Finance, Stanford Graduate School of Business",Cited by 8479
ERZO LUTTMER,,,Erzo FP Luttmer - Verified email at Dartmouth.edu - Cited by 11417
ANDREW LYON,,,Andrew W. Lyon - Verified email at saskhealthauthority.ca - Cited by 3489
CHING-TO ALBERT MA,Ching,Boston University,Cited by 4043
JEFFREY MACKIE-MASON,Jeffrey ,"University Librarian, UC Berkeley; Professor of Information Science; Professor of Economics",Cited by 9766
MICHAEL MANOVE,Michael Manove,"Boston University, CEMFI",Cited by 2257
NELSON MARK,,,Mark Nelson - Verified email at cornell.edu - Cited by 9426
ROBERT MASSON,Robert Masson,"Prof. Theology, Marquette University",Cited by 191
ALAN MATHIOS,Alan Mathios,Cornell University,Cited by 4342
OLEG MELNIKOV,,,Oleg Melnikov - Verified email at kpi.kharkov.ua - Cited by 430
RONI MICHAELY,Roni Michaely,The University of Hong Kong,Cited by 29814
JEFFREY A. MIRON,Jeffrey ,"Senior Lecturer in Economics, Harvard University; Director of Economics Studies, Cato …",Cited by 8516
TAPAN MITRA,Tapan Mitra,"Professor of Economics, Cornell University",Cited by 4244
DILIP MOOKHERJEE,Dilip Mookherjee,"Department of Economics, Boston University",Cited by 20551
MASSIMO MORELLI,Massimo Morelli,"Professor of Political Science and Economics, Bocconi University",Cited by 6003
MARK J. MACHINA,Mark J,"Professor of Economic, University of California, San Diego",Cited by 4407
GIOVANNI MAGGI,Giovanni Maggi,Yale University,Cited by 6696
GEORGE MAILATH,George ,University of Pennsylvania and Australian National University,Cited by 12187
N. GREGORY MANKIW,N,"Robert M Beren Professor of Economics, Harvard University",Cited by 109554
CHARLES MANSKI,Charles ,Northwestern University,Cited by 51188
STEPHEN MARGLIN,Stephen Marglin,"Walter S Barker Professor of Economics, Harvard University",Cited by 15847
KIMINORI MATSUYAMA,Kiminori Matsuyama,"Department of Economics, Northwestern University",Cited by 10699
STEVEN MATTHEWS,Steve Matthews,"Department of Chemical and Materials Engineering, The University of Auckland, New …",Cited by 1574
STEVEN J. MATUSZ,Steven Matusz ,"professor of economics, Michigan State University",Cited by 2848
MAURIZIO MAZZOCCO,Maurizio Mazzocco,"Professor of Economics, UCLA",Cited by 1562
R PRESTON MCAFEE,Preston Mcafee,Google Research,Cited by 24039
STEPHEN MCDONALD,Stephen McDonald,ANZDATA Registry,Cited by 19227
DAVID MCFARLAND,David ,Université de Montréal,Cited by 3134
KATHLEEN MCGARRY,Kathleen McGarry,UCLA,Cited by 9529
DAVID MCKENZIE,David McKenzie,"Development Research Group, World Bank",Cited by 31876
ANDREW MCLENNAN,,,Andrew McLennan - Verified email at economics.uq.edu.au - Cited by 3626
MARC MELITZ,Marc Melitz,"Professor of Economics, Harvard University",Cited by 43345
PAUL L. MENCHIK,Paul L,"Professor of Economics, Michigan State University",Cited by 2747
ENRIQUE MENDOZA,Enrique ,"Professor, University of Pennsylvania",Cited by 24262
ANTONIO MERLO,Antonio Merlo,New York University,Cited by 5564
BRUCE MEYER,Bruce ,"Professor, Harris School, University of Chicago",Cited by 18848
CLAUDIO MEZZETTI,Claudio Mezzetti,UQ,Cited by 2408
EDWARD MIGUEL,Edward Miguel,"Oxfam Professor in Environmental & Resource Economics, University of California Berkeley",Cited by 41699
PAUL R. MILGROM,Paul Milgrom,"Professor of Economics, Stanford University",Cited by 107382
DAVID MILLS,,,David A. Mills - Verified email at ucdavis.edu - Cited by 31902
RAOUL MINETTI,Raoul Minetti,"Professor of Economics, Michigan State University",Cited by 3123
EUGENIO MIRAVETE,Eugenio ,"Professor of Economics, University of Texas at Austin",Cited by 2280
MATTHEW MITCHELL,,,Matthew D. Mitchell - Verified email at uphs.upenn.edu - Cited by 4628
MARKUS MOBIUS,Markus Mobius,Microsoft Research,Cited by 5517
ROBERT MOFFITT,Robert Moffitt,"Professor of Economics, Johns Hopkins University",Cited by 32161
ALEXANDER MONGE,Alexander Monge,"Research Officer, Federal Reserve Bank of St. Louis",Cited by 1942
EDWARD MONTGOMERY,Edward Montgomery,"MontTech, LLC",Cited by 458
JAMES MONTGOMERY,James ,"Professor of Sociology, University of Wisconsin-Madison",Cited by 5043
MARCELO MOREIRA,Marcelo Moreira,"Professor Doutor, Universidade de São Paulo",Cited by 5320
ENRICO MORETTI,Enrico MORETTI,"Professor of Economics, Berkeley",Cited by 34029
CHIAKI MORIGUCHI,Chiaki Moriguchi,"Institute of Economic Research, Hitotsubashi University",Cited by 932
JAMES MORLEY,,,James Morley - Verified email at sydney.edu.au - Cited by 3764
ANDREA MORO,,,Andrea Moro - Verified email at microsoft.com - Cited by 1801
JOHN MORONEY,John Moroney,"Associate Professor, University of Chicago",Cited by 3062
STEPHEN MORRIS,,,Stephen Morris - Verified email at mit.edu - Cited by 25017
JULIE MORTIMER,Julie ,"Kenneth G. Elzinga Professor of Economics, University of Virginia",Cited by 1734
CHARLES MOUL,Charles Moul,"Farmer School of Business, Miami University",Cited by 794
THOMAS MROZ,Thomas Mroz,Professor,Cited by 6697
SENDHIL MULLAINATHAN,Sendhil Mullainathan,University of Chicago,Cited by 72542
KEVIN MURPHY,,,Kevin Murphy - Verified email at google.com - Cited by 84880
GEORGE MURPHY,,,George Murphy - Verified email at bwh.harvard.edu - Cited by 39061
JAMES MURPHY,,,James M. Murphy - Verified email at wehi.edu.au - Cited by 10962
PETER MURRELL,,,Peter Murrell - Verified email at umd.edu - Cited by 10031
ROGER B. MYERSON,Roger B,University of Chicago,Cited by 44389
JAMES NAKAMURA,James Nakamura,"Postdoctoral Researcher, Purdue University",Cited by 426
ZVIKA NEEMAN,zvika neeman,Tel Aviv University,Cited by 2719
DAVID TAT-CHEE NG,David ,"Professor of Finance, Dyson School , Cornell University",Cited by 3359
JOHN NACHBAR,John Nachbar,"Professor of Economics, Washington University",Cited by 1027
M. ISHAQ NADIRI,M,"Professofrof Economics, New York University",Cited by 11204
ÉVA NAGYPáL,Eva Nagypal,CFPB,Cited by 2286
TOMOYUKI NAKAJIMA,Tomoyuki Nakajima,University of Tokyo,Cited by 1125
BARRY NALEBUFF,Barry Nalebuff,Yale School of Management,Cited by 24713
DEREK A. NEAL,Derek Neal,"Professor of Economics, University of Chicago",Cited by 9532
WILLIAM NEILSON,,,William Neilson - Verified email at utk.edu - Cited by 2081
CHARLES NELSON,,,Charles A. Nelson - Verified email at harvard.edu - Cited by 61200
DAVID NEUMARK,David Neumark,"Distinguished Professor of Economics, UCI; Co-Director, CPIP",Cited by 37405
AVIV NEVO,Aviv Nevo,University of Pennsylvania,Cited by 10327
WHITNEY NEWEY,Whitney Newey,"Professor of Economics, MIT",Cited by 63529
SERENA NG,Serena Ng,Columbia University,Cited by 31983
MURIEL NIEDERLE,Muriel Niederle,"Professor of Economics, Stanford University",Cited by 14091
VOLKER NOCKE,Volker Nocke,"Professor of Economics, University of Mannheim",Cited by 3792
MICHAEL NOEL,Michael Noel,Texas Tech University Department of Economics,Cited by 2508
ROGER NOLL,Roger ,"Professor Emeritus of Economics, Stanford University",Cited by 21165
WILLIAM NORDHAUS,William Nordhaus,Yale University,Cited by 98750
PETER NORMAN,,,Peter Norman - Verified email at email.unc.edu - Cited by 1400
DOUGLASS C. NORTH,Douglass C,"Department of Economics, Washington University",Cited by 122500
JOHN V.C. NYE,John VC Nye,"Professor of Economics, George Mason University and NRU-HSE",Cited by 3332
TED O'DONOGHUE,Ted O,"Professor of Economics, Cornell University",Cited by 24838
MAUREEN O'HARA,Maureen ,"Professor of Finance, Cornell University",Cited by 41325
MASAO OGAKI,Masao Ogaki,"Professor, Faculty of Economics, Keio University",Cited by 4567
RANDALL OLSEN,Randall Olsen,Houston Methodist,Cited by 8107
ALEXEI ONATSKI,Alexei Onatski,University of Cambridge,Cited by 3565
SALVADOR ORTIGUEIRA,Salvador Ortigueira,Washington State University,Cited by 1289
EMRE OZDENOREN,Emre Ozdenoren,"Professor of Economics, London Business School",Cited by 2088
ICHIRO OBARA,Ichiro Obara,University of California Los Angeles,Cited by 783
MAURICE OBSTFELD,Maurice OBSTFELD,"University of California, Berkeley",Cited by 81613
LEE OHANIAN,lee ohanian,"Professor of Economics, UCLA",Cited by 9960
EFE OK,Efe ,"Professor of Economics and Mathematics, New York University",Cited by 7457
MARTHA OLNEY,Martha Olney,"Teaching Professor of Economics, UC Berkeley",Cited by 1445
CHRISTOPHER OTROK,Christopher Otrok,Federal Reserve Bank of Dallas,Cited by 7463
ROHINI PANDE,,,Rohini Pande - Verified email at yale.edu - Cited by 18912
ALBERT PARK,Albert Park,Hong Kong University of Science and Technology,Cited by 9820
JAMES PECK,James Peck,The Ohio State University,Cited by 2687
PIERRE PERRON,Pierre Perron,"Department of Economics, Boston University",Cited by 82171
H. ELIZABETH PETERS,H,"Institute Fellow Urban Institute, Professor Emerita Cornell University",Cited by 5097
ALEXANDER S.P. PFAFF,Alexander Pfaff,"Professor of Public Policy, Economics and Environment, Duke University",Cited by 15293
RICHARD PORTER,,RJ Porter - Verified email at otago.ac.nz - Cited by 11082,Richard Porter - Verified email at tcd.ie - Cited by 3067
HARRY PAARSCH,Harry ,"Professor of Business Analytics, University of Central Florida",Cited by 4219
ARIEL PAKES,Ariel Pakes,"Professor of Economics, Harvard University",Cited by 41957
IGNACIO PALACIOS-HUERTA,Ignacio Palacios,London School of Economics,Cited by 3550
ARVIND PANAGARIYA,Arvind Panagariya,Arvind.Panagariya @columbia.edu,Cited by 16904
JOHN PANZAR,John ,Louis W. Menk Professor Emeritus Northwestern University,Cited by 19179
STEPHEN L. PARENTE,Stephen L Parente,"Associate Professor of Economics, University of Illinois",Cited by 7445
IN UCK PARK,Uck Park,"Department of Economics, University of Bristol",Cited by 576
JONATHAN PARKER,Jonathan ,Robert C. Merton (1970) Professor of Finance,Cited by 11681
SERGIO PARREIRAS,Sérgio ,"Associate Professor of Economics, UNC",Cited by 269
ALESSANDRO PAVAN,,,Alessandro Pavan - Verified email at northwestern.edu - Cited by 5117
ROWENA PECCHENINO,Rowena Pecchenino,Professor of Economics,Cited by 2040
JOHN H. PENCAVEL,John Pencavel,Professor of Economics,Cited by 10548
JOHN PEPPER,,John Pepper - Verified email at rbht.nhs.uk - Cited by 31288,John W. Pepper - Verified email at mail.nih.gov - Cited by 5555
PIETRO PERETTO,Pietro Peretto,"Professor of Economics, Duke University",Cited by 4104
DWIGHT PERKINS,Dwight ,Harvard University,Cited by 11057
NICOLA PERSICO,Nicola Persico,"Professor of Managerial Economics, Northwestern University",Cited by 6984
WOLFGANG PESENDORFER,Wolfgang Pesendorfer,Princeton University,Cited by 10425
BRUCE C. PETERSEN,Bruce C,Washington University,Cited by 26898
LUIGI PISTAFERRI,Luigi Pistaferri,Stanford University,Cited by 12754
MARK PITT,,,Mark Pitt - Verified email at brown.edu - Cited by 12266
WERNER PLOBERGER,werner ploberger,Thomas H. Eliot Distinguished Professor in Arts & Sciences,Cited by 6649
THOMAS POGUE,Thomas Pogue,"Associate Director, CBPR, University of the Pacific",Cited by 209
BENJAMIN POLAK,Ben Polak,Yale University,Cited by 1695
HERAKLES POLEMARCHAKIS,Herakles Polemarchakis,"Professor, University of Warwick",Cited by 4207
ROBERT A. POLLAK,Robert Pollak,"Hernreich Distinguished Professor of Economics, Washington University in St. Louis",Cited by 28328
ROBERT PORTER,Robert ,"Professor of Economics, Northwestern University",Cited by 13629
ANDREW POSTLEWAITE,andrew postlewaite,"Professor of Economics, University of Pennsylvania",Cited by 13656
JAMES POTERBA,james poterba,"Mitsui Professor of Economics, MIT",Cited by 54678
JAMES POWELL,,,James L Powell - Verified email at econ.berkeley.edu - Cited by 13772
ELIZABETH POWERS,Elizabeth ,"Associate Professor, University of Illinois Urbana-Champaign",Cited by 1250
MICHAEL PRIES,Michael Pries,"Department of Economics, Univ. of Notre Dame",Cited by 889
INGMAR PRUCHA,Ingmar ,"Distinguished University Professor, University of Maryland",Cited by 12775
STEVEN PULLER,Steven ,Texas A&M University,Cited by 3307
ASSAF RAZIN,assaf razin,Tel Aviv University,Cited by 6878
MICHAEL RIORDAN,Michael Riordan,"Adjunct Professor of Physics Emeritus, University of California, Santa Cruz",Cited by 6635
FRANCISCO RIVERA-BATIZ,Francisco Rivera,Columbia University,Cited by 5378
MARC RYSMAN,Marc Rysman,"Professor of Economics, Boston University",Cited by 5545
VALERIE A. RAMEY,Valerie Ramey,"Professor of Economics, University of California, San Diego",Cited by 20828
GAREY RAMEY,Garey Ramey,"University of California, San Diego",Cited by 9042
ANTONIO RANGEL,Antonio Rangel,"Bing Professor of Neuroscience, Behavioral Biology and Economics, Caltech",Cited by 27606
SALIM RASHID,Salim Rashid,"Emeritus Professor of Economics, University of Illinois, Urbana-Champaign",Cited by 2726
JAMES RAUCH,James Rauch,"Professor of Economics, UCSD",Cited by 22290
B. RAVIKUMAR,B Ravikumar,Federal Reserve Bank of St. Louis,Cited by 5912
THOMAS RAWSKI,Thomas ,"Professor of economics, university of Pittsburgh",Cited by 9868
DEBRAJ RAY,Debraj Ray,New York University and (parttime) University of Warwick,Cited by 27347
RONNY RAZIN,Ronny Razin,London School of Economics,Cited by 1360
MICHAEL REICH,,,Michael Reich - Verified email at econ.berkeley.edu - Cited by 14395
CARMEN REINHART,Carmen ,"Professor of Economics, Harvard University",Cited by 101974
PHILIP RENY,Philip Reny,"Department of Economics, University of Chicago",Cited by 7007
HELENE REY,Helene Rey,"Lord Bagri Professor of Economics, London Business School",Cited by 19323
PAUL RHODE,,,Paul Rhode - Verified email at umich.edu - Cited by 4992
JEAN-FRANCOIS RICHARD,,,Jean-Francois Richard - Verified email at pitt.edu - Cited by 12502
RAYMOND RIEZMAN,Raymond Riezman,Aarhus University,Cited by 4486
JOHN G. RILEY,John Riley,"Professor of Economics, UCLA",Cited by 19394
VICTOR RIOS-RULL,Victor Rios,Professor of Economics,Cited by 14840
MARLA RIPOLL,Marla Ripoll,"Professor of Economics, University of Pittsburgh",Cited by 1039
JAMES A. ROBINSON,James Robinson,University of Chicago,Cited by 104872
JOHN ROEMER,John ,"Elizabeth and Varick Stout Professor of Political Science and Economics,Yale University",Cited by 27105
KENNETH ROGOFF,Kenneth Rogoff,"Professor of Economics, Harvard University",Cited by 121548
GERARD ROLAND,Gerard Roland,E. Morris Cox Professor of Economics and Professor of Political Science UC Berkeley,Cited by 27736
ELAINA ROSE,Elaina Rose,University of Washington,Cited by 3452
STEVEN ROSEFIELDE,Steven Rosefielde,Verified email at email.unc.edu,
JEAN-LAURENT ROSENTHAL,Jean,California Institute of Technology,Cited by 6879
BARBARA ROSSI,Barbara Rossi,"ICREA-Univ. Pompeu Fabra, Barcelona GSE and CREI",Cited by 6555
ESTEBAN ROSSI-HANSBERG,Esteban Rossi,"Glen A. Lloyd Distinguished Service Professor, Department of Economics, University of …",Cited by 14444
ALVIN ROTH,Alvin ,Verified email at hbs.edu,
MICHAEL ROTHSCHILD,Michael Rothschild,"Professor of Economics, Princeton University",Cited by 26257
PAUL ROTHSTEIN,,,Paul Rothstein - Verified email at georgetown.edu - Cited by 582
DANIEL RUBINFELD,Daniel Rubinfeld,"Professor of Law and Professor of Economics Emeritus, UC Berkeley",Cited by 34004
ARIEL RUBINSTEIN,Ariel Rubinstein,"Tel Aviv University, New York Univeristy",Cited by 47057
JOHN RUST,John Rust,"Founder, The Psychometrics Centre, University of Cambridge",Cited by 7325
ALDO RUSTICHINI,Aldo Rustichini,"Professor of Economics, University of Minnesota",Cited by 30337
