"","title","jcode","vol","no","pages","author1","author2","author3","author4","author5","keyauthor1","keyauthor2","keyauthor3","keyauthor4","keyauthor5","authors"
"27","Extensive Margins and the Demand for Money at Low Interest Rates",2,108,5,32,"Casey B. Mulligan","Xavier Sala-i-Martin","","","","Mulligan3","SALA-I-MARTIN","","","",2
"28","Federal Mandates by Popular Demand",2,108,5,24,"Jacques Cremer","Thomas R. Palfrey","","","","OtherAuthor","Palfrey","","","",2
"29","Globalization and the Rate of Technological Progress: What Track and Field Rec",2,109,5,19,"Lalith Munasinghe","Brendan O'Flaherty","Stephan Danninger","","","OtherAuthor","O'FLAHERTY","OtherAuthor","","",3
"30","Group Loyalty and the Taste for Redistribution",2,109,3,30,"Erzo F. P. Luttmer","","","","","OtherAuthor","","","","",1
"31","Hierarchies and the Organization of Knowledge in Production",2,108,5,32,"Luis Garicano","","","","","OtherAuthor","","","","",1
"32","Home Production Meets Time to Build",2,109,5,18,"Paul Gomme","Finn E. Kydland","Peter Rupert","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"33","Homework in Development Economics: Household Production and the Wealth of Nati",2,108,4,9,"Stephen L. Parente","Richard Rogerson","Randall Wright","","","Parente","OtherAuthor","Wright8","","",3
"34","How Dangerous Are Drinking Drivers?",2,109,6,41,"Steven D. Levitt","Jack Porter","","","","OtherAuthor","Porter1","","","",2
"35","How Much Did the Liberty Shipbuilders Learn? New Evidence for an Old Case Stud",2,109,1,36,"Peter Thompson","","","","","OtherAuthor","","","","",1
"36","Human Capital versus Signaling Models: University Access and High School Dropo",2,109,4,28,"Kelly Bedard","","","","","OtherAuthor","","","","",1
"37","In Sickness and in Health: Risk Sharing within Households in Rural Ethiopia",2,108,4,41,"Stefan Dercon","Pramila Krishnan","","","","OtherAuthor","OtherAuthor","","","",2
"38","Inequality, Control Rights, and Rent Seeking: Sugar Cooperatives in Maharashtr",2,109,1,54,"Abhijit Banerjee","Dilip Mookherjee","Kaivan Munshi","Debraj Ray","","Banerjee","MOOKHERJEE","Munshi","Ray17","",4
"39","Information and Competition in U.S. Forest Service Timber Auctions",2,109,2,44,"Susan Athey","Jonathan Levin","","","","OtherAuthor","OtherAuthor","","","",2
"40","Intellectual Collaboration",2,108,3,31,"David N. Laband","Robert D. Tollison","","","","OtherAuthor","OtherAuthor","","","",2
"41","Intercountry Differences in the Relationship between Relative Price Variabilit",2,109,2,21,"Mick Silver","Christos Ioannidis","","","","OtherAuthor","OtherAuthor","","","",2
"42","Is Child Labor Inefficient?",2,108,4,18,"Jean-Marie Baland","James A. Robinson","","","","OtherAuthor","Robinson7","","","",2
"43","Least-Present-Value-of-Revenue Auctions and Highway Franchising",2,109,5,29,"Eduardo M. R. A. Engel","Ronald D. Fischer","Alexander Galetovic","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"44","Let's Agree That All Dictatorships Are Equally Bad",2,108,3,22,"Uzi Segal","","","","","OtherAuthor","","","","",1
"45","Liquidity Risk, Liquidity Creation, and Financial Fragility: A Theory of Banki",2,109,2,42,"Douglas W. Diamond","Raghuram G. Rajan","","","","OtherAuthor","OtherAuthor","","","",2
"46","Luxuries Are Easier to Postpone: A Proof",2,108,5,6,"Martin Browning","Thomas F. Crossley","","","","OtherAuthor","OtherAuthor","","","",2
"47","Measurement Error and the Relationship between Investment and q",2,108,5,32,"Timothy Erickson","Toni M. Whited","","","","OtherAuthor","OtherAuthor","","","",2
"48","More Guns, More Crime",2,109,5,30,"Mark Duggan","","","","","OtherAuthor","","","","",1
"49","On Strategic Community Development",2,109,3,25,"J. Vernon Henderson","Jacques-Francois Thisse","","","","Henderson23","OtherAuthor","","","",2
"50","On the Distribution of Income and Worker Assignment under Intrafirm Spillovers",2,109,1,38,"Gilles Saint-Paul","","","","","OtherAuthor","","","","",1
"51","Parental Benefits from Intergenerational Coresidence: Empirical Evidence from",2,108,6,27,"Anjini Kochar","","","","","OtherAuthor","","","","",1
"52","Peter M. Garber, Famous First Bubbles: The Fundamentals of Early Manias",2,109,5,5,"John H. Cochrane","","","","","OtherAuthor","","","","",1
"53","Political Correctness",2,109,2,36,"Stephen Morris","","","","","Morris6","","","","",1
"54","Prices Rise Faster than They Fall",2,108,3,38,"Sam Peltzman","","","","","OtherAuthor","","","","",1
"55","Pricing and Matching with Frictions",2,109,5,27,"Kenneth Burdett","Shouyong Shi","Randall Wright","","","Burdett","OtherAuthor","Wright8","","",3
"56","Prospective Deficits and the Asian Currency Crisis",2,109,6,44,"Craig Burnside","Martin Eichenbaum","Sergio Rebelo","","","OtherAuthor","Eichenbaum","OtherAuthor","","",3
"57","Public versus Private Initiative in Arctic Exploration: The Effects of Incenti",2,109,1,42,"Jonathan M. Karpoff","","","","","OtherAuthor","","","","",1
"58","Putty-Clay and Investment: A Business Cycle Analysis",2,108,5,34,"Simon Gilchrist","John C. Williams","","","","GILCHRIST","OtherAuthor","","","",2
"59","Racial Bias in Motor Vehicle Searches: Theory and Evidence",2,109,1,27,"John Knowles","Nicola Persico","Petra Todd","","","Knowles","Persico","Todd8","","",3
"60","Redistributing Income under Proportional Representation",2,108,6,36,"David Austen-Smith","","","","","Austen-Smith","","","","",1
"61","Resurrecting the (C)CAPM: A Cross-Sectional Test When Risk Premia Are Time-Var",2,109,6,51,"Martin Lettau","Sydney Ludvigson","","","","OtherAuthor","Ludvigson","","","",2
"62","Richard E. Caves, Creative Industries: Contracts between Art and Commerce",2,110,1,19,"Ruth Towse","","","","","OtherAuthor","","","","",1
"63","Risk Sharing, Sorting, and Early Contracting",2,108,5,34,"Hao Li","Wing Suen","","","","OtherAuthor","OtherAuthor","","","",2
"64","Shareholder Wealth and Wages: Evidence for White-Collar Workers",2,109,2,28,"Stephen G. Bronars","Melissa Famulari","","","","OtherAuthor","OtherAuthor","","","",2
"65","Social Approval, Values, and AFDC: A Reexamination of the Illegitimacy Debate",2,109,3,36,"Thomas J. Nechyba","","","","","OtherAuthor","","","","",1
"66","Sulfur Dioxide Control by Electric Utilities: What Are the Gains from Trade?",2,108,6,36,"Curtis Carlson","Dallas Burtraw","Maureen Cropper","Karen L. Palmer","","OtherAuthor","OtherAuthor","Cropper","OtherAuthor","",4
"67","Teachers, Growth, and Convergence",2,109,5,40,"Robert Tamura","","","","","OtherAuthor","","","","",1
"68","The Dynamics of Educational Attainment for Black, Hispanic, and White Males",2,109,3,46,"Stephen V. Cameron","James J. Heckman","","","","CAMERON12","Heckman","","","",2
"69","The Dynamics of Political Compromise",2,108,3,39,"Avinash Dixit","Gene M. Grossman","Faruk Gul","","","Dixit","Grossman5","Gul","","",3
"70","The Effect of Welfare Payments on the Marriage and Fertility Behavior of Unwed",2,109,3,18,"Jeff Grogger","Stephen G. Bronars","","","","OtherAuthor","OtherAuthor","","","",2
"71","The Geography of Investment: Informed Trading and Asset Prices",2,109,4,32,"Joshua D. Coval","Tobias J. Moskowitz","","","","OtherAuthor","OtherAuthor","","","",2
"72","The Identification of Unobservable Independent and Spousal Leisure",2,109,1,13,"Yuk-fai Fong","Junsen Zhang","","","","OtherAuthor","OtherAuthor","","","",2
"73","The Making of an Oligopoly: Firm Survival and Technological Change in the Evol",2,108,4,34,"Steven Klepper","Kenneth L. Simons","","","","OtherAuthor","OtherAuthor","","","",2
"74","The U.S. Structural Transformation and Regional Convergence: A Reinterpretatio",2,109,3,34,"Francesco Caselli","Wilbur John Coleman II","","","","Caselli1","OtherAuthor","","","",2
"75","Walras Retrouvé: Decentralized Trading Mechanisms and the Competitive Price",2,109,4,23,"Gianni De Fraja","Jozsef Sakovics","","","","OtherAuthor","OtherAuthor","","","",2
"76","War and Democracy",2,109,4,28,"Gregory D. Hess","Athanasios Orphanides","","","","OtherAuthor","OtherAuthor","","","",2
"77","What Did Smith Mean by the Invisible Hand?",2,108,3,26,"William D. Grampp","","","","","OtherAuthor","","","","",1
"78","Why Would Nature Give Individuals Utility Functions?",2,109,4,15,"Arthur J. Robson","","","","","OtherAuthor","","","","",1
"79","William D. Nordhaus and Joseph Boyer, Warming the World: Economic Models of Gl",2,109,6,3,"Thomas Gale Moore","","","","","OtherAuthor","","","","",1
"80","A Model of the Federal Funds Rate Target",2,110,5,34,"James D. Hamilton","Oscar Jorda","","","","OtherAuthor","OtherAuthor","","","",2
"81","Catching Up with the Joneses: Heterogeneous Preferences and the Dynamics of Ass",2,110,6,32,"Yeung Lewis Chan","Leonid Kogan","","","","OtherAuthor","OtherAuthor","","","",2
"82","Inference with an Incomplete Model of English Auctions",2,111,1,52,"Philip A. Haile","Elie Tamer","","","","OtherAuthor","Tamer","","","",2
"83","Political Intervention in Debt Contracts",2,110,5,33,"Patrick Bolton","Howard Rosenthal","","","","Bolton5","OtherAuthor","","","",2
"84","Skill and the Value of Life",2,110,5,6,"Jason F. Shogren","Tommy Stamland","","","","OtherAuthor","OtherAuthor","","","",2
"85","The Rise of Mass Consumption Societies",2,110,5,37,"Kiminori Matsuyama","","","","","Matsuyama","","","","",1
"86","The Tenuous Trade-off between Risk and Incentives",2,110,5,33,"Canice Prendergast","","","","","OtherAuthor","","","","",1
"87","Automatic Output Stability and the Exchange Arrangement: A Multi-Country Analysi",5,49,1,17,"Michael Jones","","","","","OtherAuthor","","","","",1
"88","Coherent Arbitrariness: Stable Demand Curves without Stable Preferences",3,118,1,33,"Dan Ariely","George Loewenstein","Drazen Prelec","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"89","Contestability vs. Competition",1,74,4,16,"William G. Shepherd","","","","","OtherAuthor","","","","",1
"90","Globalization and Vertical Structure",1,90,5,16,"John McLaren","","","","","McLaren24","","","","",1
"91","Rival Models of the Life Cycle",5,49,2,9,"Mark R. Killingsworth","","","","","OtherAuthor","","","","",1
"92","Once-off and Continuing Gains from Trade",5,61,3,13,"M. Scott Taylor","","","","","Taylor15","","","","",1
"93","$p$-Dominance and Belief Potential",4,63,1,13,"Stephen Morris","Rafael Rob","Hyun Song Shin","","","Morris6","Rob","OtherAuthor","","",3
"94","(S, s) Inventory Policies in General Equilibrium",5,67,1,29,"Jonas D. M. Fisher","Andreas Hornstein","","","","OtherAuthor","OtherAuthor","","","",2
"95","1933 and 1977--Some Expansion Policy Problems in Cases of Unbalanced Domestic an",1,83,6,8,"Bertil Ohlin","","","","","OtherAuthor","","","","",1
"96","A Bargaining Model with Incomplete Information",5,59,1,17,"Sushil Bikhchandani","","","","","OtherAuthor","","","","",1
"97","A Bargaining Model with Incomplete Information About Time Preferences",4,53,5,22,"Ariel Rubinstein","","","","","Rubinstein5","","","","",1
"98","A Bayesian Approach to the Production of Information with a Linear Utility Funct",5,51,3,7,"Ian Tonks","","","","","OtherAuthor","","","","",1
"99","A Behavioral Explanation for Normal Wage Rigidity During the Great Depression",3,104,4,17,"Anthony Patrick O'Brien","","","","","OtherAuthor","","","","",1
"100","A Bias–Reduced Log–Periodogram Regression Estimator for the Long–Memory Paramete",4,71,2,38,"Donald W. K. Andrews","Patrik Guggenberger","","","","andrews6","OtherAuthor","","","",2
"101","A Capital Asset Pricing Model with Time-Varying Covariances",2,96,1,16,"Tim Bollerslev","Robert F. Engle","Jeffrey M. Wooldridge","","","Bollerslev","Engle16","Wooldridge","","",3
"102","A Capital Market in an Equilibrium Business Cycle Model",4,48,6,25,"Robert J. Barro","","","","","Barro","","","","",1
"103","A Century of Missing Trade?",1,92,1,11,"Antoni Estevadeordal","Alan M. Taylor","","","","OtherAuthor","OtherAuthor","","","",2
"104","A Characterization of Game-Theoretic Solutions which Lead to Impossibility Theor",5,63,1,16,"Matthew O. Jackson","Sanjay Srivastava","","","","Jackson19","OtherAuthor","","","",2
"105","A Characterization of Interim Efficiency with Public Goods",4,67,2,14,"John O. Ledyard","Thomas R. Palfrey","","","","Ledyard","Palfrey","","","",2
"106","A Characterization of Strongly Locally Incentive Compatible Planning Procedures",5,50,1,16,"Jean-Jacques Laffont","Eric Maskin","","","","OtherAuthor","OtherAuthor","","","",2
"107","A Class of Decompositions of the Variance-Covariance Matrix of a Generalized Err",4,50,3,12,"Tom Wansbeek","Arie Kapteyn","","","","OtherAuthor","OtherAuthor","","","",2
"108","A Class of Dominance Solvable Common-Value Auctions",5,52,3,4,"Ronald M. Harstad","Dan Levin","","","","OtherAuthor","LEVIN32","","","",2
"109","A Classical Model of the Class Struggle: A Game-Theoretic Approach",2,93,6,24,"Perry G. Mehrling","","","","","OtherAuthor","","","","",1
"110","A Classical Model of the Class Struggle: A Game-Theoretic Approach",2,94,6,24,"Perry G. Mehrling","","","","","OtherAuthor","","","","",1
"111","A Closed-form Solution for a Model of Precautionay Saving",5,60,2,11,"Frederick Van Der Ploeg","","","","","OtherAuthor","","","","",1
"112","A Coalition-Formation Approach to Equilibrium Federations and Trading Blocs",1,87,5,17,"John B. Burbidge","James A. DePater","Gordon M. Myers","Abhijit Sengupta","","OtherAuthor","OtherAuthor","OtherAuthor","OtherAuthor","",4
"113","A Combinatorial Analysis of the Overlapping Generations Model",5,48,1,7,"Stephen A. Clark","","","","","OtherAuthor","","","","",1
"114","A Commodity Price Process with a Unique Continuous Invariant Distribution Having",4,70,3,7,"Eugenio S. A. Bobenrieth H.","Juan R. A. Bobenrieth H.","Brian D. Wright","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"115","A Comparative Model of Bargaining: Theory and Evidence",1,81,5,41,"Gary E Bolton","","","","","OtherAuthor","","","","",1
"116","A Comparison of Posted-Offer and Double-Auction Pricing Institutions",5,51,4,20,"Jon Ketcham","Vernon L. Smith","Arlington W. Williams","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"117","A Comparison of the Labor Force Behavior of Married Women in the United States a",4,49,2,39,"Alice Nakamura","Masao Nakamura","","","","OtherAuthor","OtherAuthor","","","",2
"118","A Comparison of Tournaments and Contracts",2,91,3,16,"Jerry R. Green","Nancy L. Stokey","","","","Green1","Stokey","","","",2
"119","A Compensation Measure of the cost of Unemployment to the Unemployed",3,95,2,19,"Michael Hurd","","","","","OtherAuthor","","","","",1
"120","A Competitive Distribution of Auctions",5,64,1,27,"Michael Peters","","","","","OtherAuthor","","","","",1
"121","A Competitive Efficiency Wage Model with Keynesian Features",3,103,4,37,"Charles Kahn","Dilip Mookherjee","","","","OtherAuthor","MOOKHERJEE","","","",2
"122","A Competitive Model of Commodity Differentiation",4,52,2,24,"Larry E. Jones","","","","","Jones10","","","","",1
"123","A Competitive Theory of Employment Dynamics",5,64,1,22,"Randall Gouge","Ian King","","","","OtherAuthor","OtherAuthor","","","",2
"124","A Competitive Theory of Monopoly Unionism",1,73,4,13,"Edward P. Lazear","","","","","OtherAuthor","","","","",1
"125","A Complete Characterization of ARMA Solutions to Linear Rational Expectations Mo",5,53,2,13,"George Evans","Seppo Honkapohja","","","","OtherAuthor","OtherAuthor","","","",2
"126","A Computationally Efficient Quadrature Procedure for the One-Factor Multinomial",4,50,6,1,"J. S. Butler","Robert Moffitt","","","","BUTLER18","Moffitt33","","","",2
"127","A Computationally Practical Simulation Estimator for Panel Data",4,62,1,22,"Michael P. Keane","","","","","OtherAuthor","","","","",1
"128","A Concept of Egalitarianism Under Participation Constraints",4,57,3,21,"Bhaskar Dutta","Debraj Ray","","","","OtherAuthor","Ray17","","","",2
"129","A Conditional Kolmogorov Test",4,65,5,32,"Donald W. K. Andrews","","","","","andrews6","","","","",1
"130","A Confirmation of the Relation between Inflation and Relative Price Variability",2,93,4,5,"Constantine Glezakos","Jeffrey B. Nugent","","","","OtherAuthor","OtherAuthor","","","",2
"131","A Consistent Conditional Moment Test of Functional Form",4,58,6,16,"Herman J. Bierens","","","","","OtherAuthor","","","","",1
"132","A Constant Recontracting Model of Sovereign Debt",2,97,1,24,"Jeremy Bulow","Kenneth Rogoff","","","","OtherAuthor","Rogoff","","","",2
"133","A Continuous Time Approximation to the Unstable First-Order Autoregressive Proce",4,59,1,26,"Pierre Perron","","","","","PERRON","","","","",1
"134","A Contribution to the Empirics of Economic Growth",3,107,2,31,"N. Gregory Mankiw","David Romer","David N. Weil","","","Mankiw","Romer7A","Weil23","","",3
"135","A Contribution to the Theory of Business Cycles",3,107,3,18,"Duncan K. Foley","","","","","OtherAuthor","","","","",1
"136","A Convex Model of Equilibrium Growth: Theory and Policy Implications",2,98,5,31,"Larry E. Jones","Rodolfo Manuelli","","","","Jones10","Manuelli","","","",2
"137","A Critical Appraisal of McKinnon's World Money Supply Hypothesis",1,74,1,8,"Henry N. Goldstein","Stephen E. Haynes","","","","OtherAuthor","OtherAuthor","","","",2
"138","A Critique of Tiebout's Theory of Local Public Expenditures",4,49,3,28,"Truman F. Bewley","","","","","Bewley","","","","",1
"139","A Cross-Country, Cross-Industry Comparison of Productivity Growth",2,101,2,16,"Donna M. Costello","","","","","OtherAuthor","","","","",1
"140","A Cross-Sectional Test of an Investment-Based Asset Pricing Model",2,104,3,50,"John H. Cochrane","","","","","OtherAuthor","","","","",1
"141","A Cue-Theory of Consumption",3,116,1,40,"David Laibson","","","","","Laibson","","","","",1
"142","A Decentralized Market with Common Values Uncertainty: Non-Steady States",5,68,2,24,"Roberto Serrano","Max R. Blouin","","","","Serrano","OtherAuthor","","","",2
"143","A Decision Theoretic Model of Innovation, Technology Transfer, and Trade",5,54,4,17,"Richard Jensen","Marie Thursby","","","","OtherAuthor","OtherAuthor","","","",2
"144","A Decomposition Algorithm for General Equilibrium Computation with Application t",4,50,6,11,"Ahsan Mansur","John Whalley","","","","OtherAuthor","OtherAuthor","","","",2
"145","A Definition of Uncertainty Aversion",5,66,3,30,"Larry G. Epstein","","","","","Epstein13","","","","",1
"146","A Demand System Rank Theorem",4,57,3,5,"Arthur Lewbel","","","","","OtherAuthor","","","","",1
"147","A Differential Approach to Dominant Strategy Mechanisms",4,48,6,12,"Jean-Jacques Laffont","Eric Maskin","","","","OtherAuthor","OtherAuthor","","","",2
"148","A Differential Demand System, Rational Expectations and the Life Cycle Hypothesi",4,53,1,18,"C. L. F. Attfield","Martin J. Browning","","","","OtherAuthor","OtherAuthor","","","",2
"149","A Difficulty with the Optimum Quantity of Money",4,51,5,20,"Truman Bewley","","","","","Bewley","","","","",1
"150","Lemons Model: The Market for Used Pickup Trucks",1,72,4,5,"Eric W. Bond","","","","","OtherAuthor","","","","",1
"151","A Directed Search Model of Inequality with Heterogeneous Skills and Skill–Biased",5,69,2,25,"Shouyong Shi","","","","","OtherAuthor","","","","",1
"152","A Disaggregate Model of the Demand for Intercity Freight Transportation",4,49,4,26,"Clifford Winston","","","","","OtherAuthor","","","","",1
"153","A Disaggregated Analysis of the Allocation of Time within the Household",2,94,2,27,"Peter Kooreman","Arie Kapteyn","","","","OtherAuthor","OtherAuthor","","","",2
"154","A Disaggregated Analysis of the Allocation of Time within the Household",2,95,2,27,"Peter Kooreman","Arie Kapteyn","","","","OtherAuthor","OtherAuthor","","","",2
"155","A Discrete Choice Model for Ordered Alternatives",4,55,2,16,"Kenneth A. Small","","","","","OtherAuthor","","","","",1
"156","A Disequilibrium Rational Expectations Model with Walrasian Prices and Involunta",5,59,4,14,"Paul Madden","","","","","OtherAuthor","","","","",1
"157","A Divisible Search Model of Fiat Money",4,65,1,28,"Shouyong Shi","","","","","OtherAuthor","","","","",1
"158","A Dynamic Baumol-Tobin Model of Money Demand",5,53,3,5,"Gregor W. Smith","","","","","OtherAuthor","","","","",1
"159","A Dynamic Economy with Costly Price Adjustments",1,89,4,24,"Leif Danziger","","","","","OtherAuthor","","","","",1
"160","A Dynamic Equilibrium Model of Asset Prices and Transaction Volume",2,94,1,22,"Gregory W. Huffman","","","","","OtherAuthor","","","","",1
"161","A Dynamic Equilibrium Model of Asset Prices and Transaction Volume",2,95,1,22,"Gregory W. Huffman","","","","","OtherAuthor","","","","",1
"162","A Dynamic Equilibrium Model of International Portfolio Holdings",4,69,6,23,"Angel Serrat","","","","","OtherAuthor","","","","",1
"163","A Dynamic Game of R and D: Patent Protection and Competitive Behavior",4,50,3,18,"Jennifer F. Reinganum","","","","","OtherAuthor","","","","",1
"164","A Dynamic Model of Employment Behavior: An Application to the Seattle and Denver",4,48,4,22,"Nancy Brandon Tuma","Philip K. Robins","","","","OtherAuthor","OtherAuthor","","","",2
"165","A Dynamic Model of Investment and Capacity Utilization",3,96,3,26,"Andrew B. Abel","","","","","OtherAuthor","","","","",1
"166","A Dynamic Specific-Factors Model of International Trade",5,54,2,14,"Jonathan Eaton","","","","","Eaton17","","","","",1
"167","A Dynamic Stochastic Model of Medical Care Use and Work Absence",4,66,1,45,"Donna B. Gilleskie","","","","","Gilleskie","","","","",1
"168","A Dynamic Tiebout Theory of Voluntary vs. Involuntary Provision of Public Goods",5,66,3,19,"Gerhard Glomm","Roger Lagunoff","","","","OtherAuthor","OtherAuthor","","","",2
"169","A Fallacy of Composition",1,82,5,14,"Richardo J. Caballero","","","","","Caballero","","","","",1
"170","A Financial Theory of Investment Behavior",4,51,3,10,"Erling Steigum, Jr.","","","","","OtherAuthor","","","","",1
"171","A Folk Theorem for Asynchronously Repeated Games",4,69,1,10,"Kiho Yoon","","","","","OtherAuthor","","","","",1
"172","A Folk Theorem for Repeated Sequential Games",5,69,2,20,"Quan Wen","","","","","OtherAuthor","","","","",1
"173","A Fractional Dickey–Fuller Test for Unit Roots",4,70,5,44,"Juan J. Dolado","Jesus Gonzalo","Laura Mayoral","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"174","A Framework for Evaluating the Effects of Economic Growth and Transfers on Pover",1,75,1,9,"Peter Gottschalk","Sheldon Danziger","","","","OtherAuthor","OtherAuthor","","","",2
"175","A Fresh Look at the Rotten Kid Theorem--and Other Household Mysteries",2,97,5,22,"Theodore C. Bergstrom","","","","","OtherAuthor","","","","",1
"176","A Further Exploration in the Theory of Exchange Rate Regimes",2,91,5,8,"David Aschauer","Jeremy Greenwood","","","","OtherAuthor","Greenwood13","","","",2
"177","A Game–Theoretic View of the Fiscal Theory of the Price Level",4,70,6,29,"Marco Bassetto","","","","","Bassetto","","","","",1
"178","A General Approach to the Limiting Distribution for Estimators in Time Series Re",4,58,1,19,"Seiji Nabeya","Katsuto Tanaka","","","","OtherAuthor","OtherAuthor","","","",2
"179","A General Characterization of Optimal Income Tax Enforcement",5,65,1,19,"Parkash Chander","Louis L. Wilde","","","","OtherAuthor","OtherAuthor","","","",2
"180","A General Equilibrium Analysis of Partial-Equilibrium Welfare Measures: The Case",1,77,3,11,"Mary F. Kokoski","V. Kerry Smith","","","","OtherAuthor","OtherAuthor","","","",2
"181","A General Equilibrium Approach to Marxian Economics",4,48,2,26,"John E. Roemer","","","","","Roemer6","","","","",1
"182","A General Equilibrium Model for Tax Policy Evaluation",2,94,5,3,"N. Soren Blomquist","","","","","OtherAuthor","","","","",1
"183","A General Equilibrium Model for Tax Policy Evaluation",2,95,5,3,"N. Soren Blomquist","","","","","OtherAuthor","","","","",1
"184","A General Equilibrium Model of Congressional Voting",3,97,2,23,"James B. Kau","Donald Keenan","Paul H. Rubin","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"185","A General Equilibrium Model of Housing, Taxes, and Portfolio Choice",2,100,2,40,"James Berkovec","Don Fullerton","","","","OtherAuthor","Fullerton","","","",2
"186","A General Equilibrium Model of Insurrections",1,81,4,10,"Herschell I. Grossman","","","","","Grossman23","","","","",1
"187","A General Existence Theorem for von Neumann Economic Growth Models",4,52,4,12,"Peter Medvegyev","","","","","OtherAuthor","","","","",1
"188","A General Experiment on Bargaining in Demand Games with Outside Options",1,83,5,21,"Lawrence M. Kahn","J. Keith Murnighan","","","","OtherAuthor","OtherAuthor","","","",2
"189","A General Index of Technical Change",2,96,1,22,"Badi H. Baltagi","James M. Griffin","","","","Baltagi","OtherAuthor","","","",2
"190","A Generalization of the Durbin Significance Test and Its Application to Dynamic",4,51,5,18,"J. D. Sargan","F. Mehta","","","","OtherAuthor","OtherAuthor","","","",2
