Field1,Field2,Field3,Time
JOHN HUMMEL,,,John Hummel - Verified email at uiuc.edu - Cited by 9027
GAVIN HUNTLEY-FENNER,Gavin Huntley,"Principal Consultant, Huntley-Fenner Advisors, Inc",Cited by 981
YUEN HUO,Yuen Huo,"University of California, Los Angeles",Cited by 9715
ANDREA HUSSONG,Andrea Hussong,University of North Carolina at Chapel Hill,Cited by 10932
KENT HUTCHISON,Kent ,University of Colorado at Boulder,Cited by 14270
JEFF  HUTSLER,Jeffrey Hutsler,University of Nevada,Cited by 2325
JANET HYDE,Janet ,"Professor of Psychology, University of Wisconsin",Cited by 69448
WILLIAM G. IACONO,William Iacono,"Regents Professor of Psychology, Psychiatry, Neuroscience, & Law",Cited by 65873
SOUHEIL INATI,Souheil Inati,InatiAnalytics,Cited by 8219
MARITA  INGLEHART,Marita ,"University Diversity and Social Transformation Professor; Professor, University of Michigan",Cited by 6649
DAVID IRWIN,,,David J Irwin - Verified email at pennmedicine.upenn.edu - Cited by 14469
TIFFANY ITO,Tiffany Ito,Professor; Department of Psychology & Neuroscience; University of Colorado Boulder,Cited by 14597
RICHARD IVRY,Richard IVRY,"Professor of Psychology and Neuroscience, University of California Berkeley",Cited by 39058
JAMES   JACKSON,,,James M. Jackson - Verified email at usra.edu - Cited by 16835
LUCIA JACOBS,Lucia ,"Professor of Psychology and Neuroscience, University of California, Berkeley",Cited by 5934
RICK JACOBS,Rick Jacobs,"Professor of Psychology, Penn State University",Cited by 4882
ROBERT JACOBS,,,Robert Jacobs - Verified email at bcs.rochester.edu - Cited by 20017
RICHARD JAGACINSKI,Richard Jagacinski,"Professor of Psychology, Ohio State University",Cited by 3541
CARLTON JAMES,James Carlton,Williams College,Cited by 37409
LARRY JAMNER,Larry Jamner,University of California Irvine,Cited by 8148
RONNIE JANOFF-BULMAN,Ronnie Janoff,Verified email at umass.edu,
J. DAVID JENTSCH,J,Binghamton University,Cited by 14045
RICHARD JESSOR,Richard Jessor,"Distinguished Professor of Behavioral Science, University of Colorado",Cited by 39346
AMISHI JHA,Amishi Jha,"Professor of Psychology, University of Miami",Cited by 10648
OLIVER JOHN,Oliver ,UC Berkeley,Cited by 121000
RICHARD JOHN,,,John P. Richard - Verified email at buffalo.edu - Cited by 11686
SCOTT JOHNSON,,,Scott P. Johnson - Verified email at ucla.edu - Cited by 13237
THOMAS JOHNSON,,,Thomas Johnson - Verified email at colorado.edu - Cited by 23931
MARCIA K. JOHNSON,Marcia K,"Sterling Professor Emerita of Psychology, Yale University",Cited by 53327
PHILIP JOHNSON-LAIRD,Philip Johnson,"Stuart Professor of Psychology, Emeritus, Princeton University; Visiting scholar, Psychology …",Cited by 71921
MARI JONES,Mari,Norwegian University of Science and Technology (NTNU),Cited by 398
THERESA A. JONES,Theresa Jones,University of Texas at Austin,Cited by 14555
LAWRENCE  JONES,,,Lawrence F. Jones - Verified email at nottshc.nhs.uk - Cited by 2669
SUSAN JONES,,,Susan S Jones - Verified email at indiana.edu - Cited by 7285
JOHN JONIDES,John Jonides,University of Michigan,Cited by 72653
ROBERT A. JOSEPHS,Robert ,"Professor of Psychology and Psychiatry, The University of Texas at Austin",Cited by 10579
JOHN JOST,John Jost,"Professor of Psychology and Politics, New York University",Cited by 61871
CHARLES M. JUDD,Charles M,"College Professor of Distinction Emeritus, University of Colorado Boulder",Cited by 59963
JANICE JURASKA,Janice ,"Professor of Psychology, University of Illinois",Cited by 10322
LEE JUSSIM,Lee Jussim,"Professor of Psychology, Rutgers",Cited by 17526
MARCEL JUST,Marcel Just,"Professor of Psychology, Carnegie Mellon University",Cited by 60723
JAANA JUVONEN,Jaana Juvonen,"Department of Psychology, UCLA",Cited by 21473
PETER KAHN,,,"Peter H. Kahn, Jr. - Verified email at uw.edu - Cited by 17133"
DANIEL KAHNEMAN,Daniel Kahneman,Princeton University (Emeritus),Cited by 510311
SABINE KASTNER,Sabine Kastner,"Professor of Psychology and Neuroscience, Princeton University",Cited by 25944
LYNN KATZ,,,Lynn Fainsilber Katz - Verified email at uw.edu - Cited by 14082
LESLIE M. KAY,Leslie M,Professor of Psychology,Cited by 4520
ALAN E. KAZDIN,Alan E,Yale University,Cited by 120916
PAMELA KEEL,Pamela Keel,Florida State University,Cited by 25998
RACHEL KEEN,Rachel Keen,Kansas State University,Cited by 81
RICHARD KEESEY,,,Richard Keesey - Verified email at wisc.edu - Cited by 6185
FRANK C. KEIL,Frank Keil,Yale University,Cited by 26552
PHILIP KELLMAN,Philip ,"University of California, Los Angeles",Cited by 8658
DACHER KELTNER,Dacher Keltner,University of California Berkeley,Cited by 80611
DAVID KEMMERER,David Kemmerer,Purdue University,Cited by 5465
NANCY KENNEY,Nancy ,"Psychology and Gender, Women & Sexuality Studies University of Washington",Cited by 1374
DANIEL J. KERSTEN,,,Daniel Kersten - Verified email at umn.edu - Cited by 11656
BOAZ KEYSAR,Boaz Keysar,"Professor of Psychology, University of Chicago",Cited by 16685
DAVID KIERAS,David Kieras,University of Michigan,Cited by 16917
JEANSOK J. KIM,Jeansok J,"Professor of Psychology, University of Washington",Cited by 20855
DONALD KINDER,Donald Kinder,"Professor of Political Science, University of Michigan",Cited by 37408
RICHARD KING,,,Richard King - Verified email at soas.ac.uk - Cited by 6099
CHERYL KING,Cheryl ,"Member of the Faculty, Emerita - The Evergreen State College",Cited by 3429
DAVID KLAHR,David Klahr,"Professor of Psychology, Carnegie Mellon University",Cited by 18743
ROBERTA KLATZKY,Roberta Klatzky,"Charles J. Queenan, Jr. University Professor, Carnegie Mellon University",Cited by 31516
KEITH KLUENDER,Keith ,Purdue University,Cited by 5687
ROBERT T. KNIGHT,Robert ,"Professor of Psychology and Neuroscience, UC Berkeley",Cited by 71939
BARBARA KNOWLTON,Barbara Knowlton,"Professor of Psychology, UCLA",Cited by 29321
BRIAN KNUTSON,Brian Knutson,"Professor of Psychology and Neuroscience, Stanford University",Cited by 39964
ROBERT KOHLENBERG,Robert Kohlenberg,Professor o Psychology,Cited by 9888
VLADIMIR KONECNI,Vladimir ,"Emeritus Professor of Psychology, Univ. of California, San Diego",Cited by 5987
SYLVAN KORNBLUM,Sylvan Kornblum,"University of Michigan, Professor Emeritus",Cited by 9382
DONNA KOROL,Donna ,Syracuse University,Cited by 5435
STEPHEN M. KOSSLYN,Stephen M,Active Learning Sciences and Foundry College,Cited by 68425
KENNETH KOTOVSKY,Kenneth Kotovsky,"Professor of Psychology, Carnegie Mellon University",Cited by 6339
ILONA KOVACS,Ilona Kovacs,"professor of psychology, Eötvös Loránd University",Cited by 4888
ARTHUR KRAMER,Arthur Kramer,"Professor and Director, Northeastern University, Emeritus Prof,  Univ. Illinois",Cited by 95591
DAVID KRANTZ,,,David S. Krantz - Verified email at usuhs.edu - Cited by 22429
ANN KRING,Ann ,"University of California, Berkeley",Cited by 25449
JUDITH KROLL,Judith Kroll,"University of California, Irvine",Cited by 24483
JON KROSNICK,Jon Krosnick,Stanford University,Cited by 57300
ROBERT KRUEGER,Robert ,"Distinguished McKnight University Professor, Department of Psychology, University of …",Cited by 72396
JUSTIN KRUGER,Justin Kruger,New York University,Cited by 17947
CAROL L. KRUMHANSL,Carol ,Cornell University,Cited by 19663
JOHN K. KRUSCHKE,John K,"Provost Professor Emeritus, Indiana University",Cited by 18653
MICHAEL KUBOVY,Michael Kubovy,"Professor (Emeritus) of Psychology, University of Virginia",Cited by 8558
NATHAN KUNCEL,Nathan Kuncel,University of Minnesota,Cited by 12917
JANIS KUPERSMIDT,Janis ,innovation Research & Training,Cited by 22177
BETH KURTZ-COSTES,Beth Kurtz,"Department of Psychology and Neuroscience, University of North Carolina, Chapel Hill",Cited by 7076
ROBERT KURZBAN,Robert ,Verified email at alumni.upenn.edu,
RANDALL KYES,Randall Kyes,Research Professor - Psychology; Director - Center for Global Field Study - - University of,Cited by 1654
KEVIN LABAR,Kevin LaBar,Duke University,Cited by 28209
MARIANNE LAFRANCE,Marianne LaFrance,"Professor of Psychology, Yale University",Cited by 7979
WILLIAM LAMBERT,William ,Viridos,Cited by 916
MICHAEL LANDY,Michael ,"Professor of Psychology and Neural Science, New York University",Cited by 13291
KIMBERLYN LEARY,Kimberlyn Leary,"Associate Professor, Harvard Medical School; Associate Professor in Health Policy and …",Cited by 1454
LUC LECAVALIER,Luc Lecavalier,Ohio State University,Cited by 10537
RICHARD M. LEE,Richard M,"Professor of Psychology, University of Minnesota",Cited by 19059
DAEYEOL LEE,Daeyeol Lee,Johns Hopkins University,Cited by 11984
GORDON LEGGE,Gordon ,"Professor of Psychology and Neuroscience, University of Minnesota",Cited by 18306
LILIANA LENGUA,Liliana ,"Professor of Psychology, University of Washington",Cited by 13791
FREDERICK LEONG,Frederick Leong,"Independent Researcher; Retired Professor of Psychology, Michigan State University",Cited by 23205
ALAN LESLIE,Alan ,Distinguished Professor of Psychology and Cognitive Science,Cited by 40840
SUSAN LEVINE,Susan Levine,University of Chicago,Cited by 23108
LINDA LEVINE,Linda ,"Professor of Psychological Science, University of California, Irvine",Cited by 8580
DAVID A. LEVITSKY,David Levitsky,Cornell University,Cited by 10393
PETER LEWINSOHN,Peter ,Oregon Research Institute,Cited by 77642
MICHAEL LEWIS,Michael Lewis,university distinguished professor of pediatrics and psycharity,Cited by 77278
RICHARD  LEWIS,,,Richard S. Lewis - Verified email at stanford.edu - Cited by 28025
ISRAEL LIBERZON,Israel Liberzon,Distinguished Professor of Psychiatry Texas A&M University,Cited by 40532
BRIAN LICKEL,Brian Lickel,"Department of Psychological and Brain Sciences, University of Massachusetts Amherst",Cited by 10004
MATTHEW LIEBERMAN,Matthew Lieberman,"Professor of Psychology, University of California Los Angeles (UCLA)",Cited by 46946
ANGELINE LILLARD,Angeline LIllard,"Professor of Psychology, University of Virginia",Cited by 12543
ROBERT LINDSAY,Lindsay,University of Glasgow,Cited by 25271
MARSHA LINEHAN,Marsha Linehan,University of Washington,Cited by 80060
ZILI LIU,Zili Liu,CAD&CG Zhejiang University,Cited by 75
ELIZABETH LOFTUS,Elizabeth ,"Psychological Science and Law, University of California, Irvine",Cited by 80680
GEOFFREY  LOFTUS,Geoffrey ,"Professor of Psychology, University of Washington",Cited by 18485
STEVEN LOPEZ,,,Steven Regeser Lopez - Verified email at usc.edu - Cited by 10288
CATHERINE LORD,Catherine Lord,UCLA,Cited by 131454
BRAD LOVE,Brad Love,University of Texas,Cited by 2857
ZHONG-LIN LU,Zhong,NYU Shanghai and NYU,Cited by 19022
MONICA LUCIANA,Monica Luciana,University of Minnesota,Cited by 12445
BARBARA C. LUST,Barbara Lust,"Professor of Cognitive Science, Cornell University",Cited by 4673
MARYELLEN MACDONALD,Maryellen ,"Professor of Psychology, University of Wisconsin-Madison",Cited by 14891
ANGUS MACDONALD,Angus MacDonald ,"Distinguished McKnight University Professor, University of Minnesota",Cited by 20986
BRIAN MACWHINNEY,Brian MacWhinney,"Professor of Psychology, CMU",Cited by 55491
W. TODD MADDOX,W,"Wayne Holtzman Chair and Professor of Psychology, University of Texas",Cited by 15637
JAMES MAGNUSON,James Magnuson,"Psych. Sciences, U. Connecticut; BCBL (Basque Center on Cognition, Brain & Language)",Cited by 8593
RAMASWAMI MAHALINGAM,Ramaswami Mahalingam,University of Michigan,Cited by 2605
JOSEPH L. MAHONEY,Joseph L,Panorama Education,Cited by 12959
STEVEN F. MAIER,Steven F,University of Colorado Boulder,Cited by 82327
MARY MAIN,Mary Main,UC Berkeley,Cited by 62663
NEIL MALAMUTH,Neil Malamuth,UCLA,Cited by 22772
BERTRAM MALLE,Bertram Malle,Brown University,Cited by 19117
GEORGE MANDLER,George Mandler,"University of California, San Diego",Cited by 33061
JENNIFER MANGELS,Jennifer Mangels,"Baruch College, CUNY",Cited by 7696
SARAH MANGELSDORF,Sarah Mangelsdorf,University of Rochester,Cited by 10539
FRANK MANIS,Frank Manis,"Professor of Psychology, University of Southern California",Cited by 8526
TRACI MANN,Traci Mann,University of Minnesota,Cited by 9267
VIRGINIA MANN,Mann,Verified email at uci.edu,
RICHARD  MANN,,,Richard S. Mann - Verified email at columbia.edu - Cited by 20448
STEPHEN  MAREN,Stephen Maren,"Distinguished Professor, Psychological and Brain Sciences, Texas A&M University",Cited by 29549
GAYLA MARGOLIN,Gayla Margolin,University of Southern California,Cited by 23581
ARTHUR MARKMAN,Arthur ,"Professor of Psychology, University of Texas",Cited by 22624
LORI MARKSON,Lori Markson,"Department of Psychological & Brain Sciences, Washington University in St Louis",Cited by 3014
